Month,2018,2019,2020,2021,2022,2023,2024,2025
January,328,328,286,324,279,311,355,306
February,243,242,241,288,225,237,218,214
March,203,184,128,223,217,170,176,170
April,222,211,110,202,255,180,182,210
May,217,221,144,144,212,171,223,170
June,202,189,123,147,190,130,179,141
July,104,134,84,110,87,84,96,78
August,111,86,64,107,93,116,72,89
September,112,98,118,78,104,108,105,105
October,269,234,265,173,210,219,234,223
November,335,312,328,377,321,373,374,354
December,360,337,332,336,319,348,294,351
